,alpha,spectral_norm,D,longname,eigs,norm,alphahat,eigs_num
0,1.0813268423080444,0.9011375308036804,0.23956920206546783,module.conv1,"[3.4659716e-25 4.3152757e-25 4.7345883e-25 ... 4.1315794e-01 4.7813320e-01
 9.0113753e-01]",9.614555358886719,-0.048885621224271356,1500
1,1.1133501529693604,0.06665259599685669,0.26196742057800293,module.layer1.0.conv1,"[9.9107639e-14 1.1548035e-13 1.4261862e-13 ... 5.4747269e-02 5.4999337e-02
 6.6652596e-02]",1.7376794815063477,-1.309503446086437,1500
2,1.5203229188919067,0.10077774524688721,0.14240360260009766,module.layer1.0.conv2,"[2.03589359e-08 2.80804286e-08 3.33701742e-08 ... 4.15270440e-02
 6.18735887e-02 1.00777745e-01]",2.825198173522949,-1.515207583491419,1500
3,1.5384325981140137,0.039530497044324875,0.1518321931362152,module.layer1.1.conv1,"[1.3822770e-11 2.0587292e-11 2.8327779e-11 ... 3.3189483e-02 3.3437751e-02
 3.9530497e-02]",2.1541311740875244,-2.1585251254052267,1500
4,1.615121603012085,0.0380263514816761,0.1527080535888672,module.layer1.1.conv2,"[3.6915984e-09 6.8665109e-09 5.1902148e-08 ... 2.0417975e-02 2.1734085e-02
 3.8026351e-02]",2.1658432483673096,-2.2933359431309723,1500
5,1.619655966758728,0.08129187673330307,0.1224382221698761,module.layer2.0.conv1,"[3.8815543e-07 5.6991109e-07 9.1750439e-07 ... 5.9373841e-02 6.5006748e-02
 8.1291877e-02]",5.029870986938477,-1.7653486370751186,1500
6,1.7151224613189697,0.02840929850935936,0.14036166667938232,module.layer2.0.conv2,"[1.0956593e-06 1.8587561e-06 2.7553783e-06 ... 2.0938316e-02 2.2151446e-02
 2.8409299e-02]",2.6512181758880615,-2.6525046163928363,1500
7,1.6548330783843994,0.15122851729393005,0.1419738233089447,module.layer2.0.shortcut.0,"[4.4577996e-06 5.0847875e-06 7.9185211e-06 ... 1.0381138e-01 1.0496206e-01
 1.5122852e-01]",8.264313697814941,-1.357569299265536,1500
8,1.7514610290527344,0.028255555778741837,0.15845000743865967,module.layer2.1.conv1,"[5.3356524e-07 1.0779908e-06 1.6692572e-06 ... 1.8038983e-02 1.8942509e-02
 2.8255556e-02]",2.178835868835449,-2.712831237476814,1500
9,1.615732192993164,0.022795675322413445,0.1451328545808792,module.layer2.1.conv2,"[1.6191298e-07 2.4421470e-07 2.5798798e-07 ... 1.6561110e-02 1.8422941e-02
 2.2795675e-02]",1.5328354835510254,-2.653270641639493,1500
10,1.6998838186264038,0.03599004074931145,0.115176260471344,module.layer3.0.conv1,"[2.5093475e-06 2.7214428e-06 3.5341045e-06 ... 2.3414198e-02 2.3437109e-02
 3.5990041e-02]",3.4600045680999756,-2.454322280038008,1500
11,1.8344874382019043,0.019281959161162376,0.13408654928207397,module.layer3.0.conv2,"[5.8157862e-06 6.4012861e-06 6.7395072e-06 ... 1.4306469e-02 1.7701501e-02
 1.9281959e-02]",2.6704583168029785,-3.145868657783099,1500
12,1.9751471281051636,0.038054078817367554,0.15966656804084778,module.layer3.0.shortcut.0,"[1.8344055e-05 1.9250820e-05 1.9494082e-05 ... 3.3156402e-02 3.5982400e-02
 3.8054079e-02]",6.452880382537842,-2.803916466509358,1500
13,1.7485098838806152,0.008172892965376377,0.15085113048553467,module.layer3.1.conv1,"[3.7250757e-07 7.1490871e-07 8.5668268e-07 ... 6.3550356e-03 7.8991419e-03
 8.1728930e-03]",1.2209796905517578,-3.650231527757866,1500
14,1.6324307918548584,0.011642593890428543,0.13752338290214539,module.layer3.1.conv2,"[6.12190121e-08 1.04557529e-07 1.15262516e-07 ... 8.96710996e-03
 1.08850710e-02 1.16425939e-02]",1.0904591083526611,-3.157039939746805,1500
15,1.798387050628662,0.020417489111423492,0.12033092975616455,module.layer4.0.conv1,"[4.5043084e-06 4.5622810e-06 5.1837860e-06 ... 1.3756354e-02 1.4856402e-02
 2.0417489e-02]",1.8248142004013062,-3.039269920549755,1500
16,1.8376100063323975,0.009349282830953598,0.142835795879364,module.layer4.0.conv2,"[3.3365588e-06 5.3070130e-06 5.6214471e-06 ... 8.2160868e-03 8.7196957e-03
 9.3492828e-03]",1.5489795207977295,-3.7289181044944137,1500
17,2.126370429992676,0.021332932636141777,0.15811815857887268,module.layer4.0.shortcut.0,"[1.8490859e-05 2.9301562e-05 3.0371057e-05 ... 1.8458331e-02 2.0902986e-02
 2.1332933e-02]",4.578465938568115,-3.553057475033564,1500
18,1.6204960346221924,0.010463262908160686,0.1571144461631775,module.layer4.1.conv1,"[1.4691777e-06 1.5540082e-06 1.5640943e-06 ... 8.1761498e-03 9.9565601e-03
 1.0463263e-02]",1.562819480895996,-3.209121550296417,1500
19,1.4150850772857666,0.00823889672756195,0.09854280948638916,module.layer4.1.conv2,"[1.3951278e-08 1.7334829e-08 2.3065660e-08 ... 5.6719417e-03 5.7384744e-03
 8.2388967e-03]",0.4542912244796753,-2.9492225935447496,1500
20,1.9466341733932495,0.9237455725669861,0.1525876820087433,module.linear,"[2.1780310e-04 4.2327889e-04 5.0342293e-04 ... 8.2098347e-01 8.4504515e-01
 9.2374557e-01]",194.27015686035156,-0.06705693399996021,1500
