,alpha,spectral_norm,D,longname,eigs,norm,alphahat,eigs_num
0,1.3001816272735596,1.6292486190795898,0.17919960618019104,module.features.conv_1,"[4.61866811e-09 8.08276113e-09 9.68946612e-09 1.02292841e-08
 1.39468614e-08 1.53401842e-08 2.43603573e-08 2.79975314e-08
 2.80655073e-08 3.29446799e-08 3.68918620e-08 3.97571291e-08
 4.29966214e-08 4.69191690e-08 4.85261822e-08 7.55028040e-08
 8.17468617e-08 1.01937708e-07 1.02703737e-07 1.19674525e-07
 1.22446622e-07 1.38860656e-07 1.45452702e-07 1.62284280e-07
 1.64352954e-07 1.91060664e-07 2.51006213e-07 2.52560824e-07
 3.34856082e-07 3.49550078e-07 3.58796143e-07 3.61901186e-07
 4.19514748e-07 4.35083166e-07 4.44437916e-07 6.31075864e-07
 6.34742321e-07 6.79317054e-07 7.38475876e-07 7.95945709e-07
 8.73139811e-07 9.81916628e-07 1.03390062e-06 1.03629975e-06
 1.05774404e-06 1.08428969e-06 1.08968504e-06 1.32510957e-06
 1.38350720e-06 1.62563936e-06 1.69003454e-06 1.76298352e-06
 1.78476921e-06 1.88582749e-06 2.00301361e-06 2.03162585e-06
 2.39497535e-06 2.82317478e-06 3.01864566e-06 3.07558275e-06
 3.16528531e-06 3.35378195e-06 3.50897039e-06 3.79395624e-06
 3.92446873e-06 4.02517890e-06 4.27487976e-06 4.58512113e-06
 5.08398534e-06 5.29789031e-06 5.30761599e-06 5.60124454e-06
 5.75613103e-06 6.31703915e-06 6.66143751e-06 7.93671734e-06
 8.33392642e-06 8.38521191e-06 8.73884437e-06 9.49197238e-06
 9.86260147e-06 9.93579670e-06 1.00837597e-05 1.06814214e-05
 1.11603385e-05 1.27376425e-05 1.29467107e-05 1.29699092e-05
 1.29737164e-05 1.47076989e-05 1.49725975e-05 1.60971031e-05
 1.61816533e-05 1.89310140e-05 1.95727862e-05 1.96255587e-05
 2.16998360e-05 2.24485884e-05 2.39702240e-05 2.48642937e-05
 2.50892899e-05 2.53480084e-05 2.85985207e-05 2.87432322e-05
 2.93950216e-05 3.09188435e-05 3.16135593e-05 3.23963322e-05
 3.46974339e-05 3.47792229e-05 3.63843246e-05 3.75261698e-05
 3.81629834e-05 4.08918750e-05 4.47738676e-05 4.52892455e-05
 4.85060336e-05 5.13001214e-05 5.16468172e-05 5.74116784e-05
 5.92561773e-05 7.16899012e-05 7.50754189e-05 8.00739435e-05
 8.51896839e-05 8.58683052e-05 8.82766763e-05 8.86978232e-05
 9.10063027e-05 9.17720172e-05 9.19530794e-05 9.83933569e-05
 1.05119005e-04 1.10866516e-04 1.12256042e-04 1.14597198e-04
 1.21516940e-04 1.28736225e-04 1.29817985e-04 1.31968089e-04
 1.32436529e-04 1.49446525e-04 1.53722154e-04 1.57219314e-04
 1.62600001e-04 1.72786065e-04 1.75950263e-04 1.76493719e-04
 2.11198756e-04 2.20006128e-04 2.36130218e-04 2.41326838e-04
 2.41896283e-04 2.53232225e-04 2.73767655e-04 2.74211867e-04
 2.80920998e-04 2.86969327e-04 3.15787533e-04 3.32692056e-04
 3.35794612e-04 3.38191749e-04 3.45645909e-04 3.92797723e-04
 3.93937342e-04 4.01023688e-04 4.29745880e-04 4.38286050e-04
 4.39276453e-04 4.44330683e-04 4.87755926e-04 4.93738451e-04
 5.03967458e-04 5.31701371e-04 5.76695835e-04 6.20025792e-04
 6.26305176e-04 6.41376304e-04 6.60638383e-04 6.76224183e-04
 6.83987804e-04 7.11507862e-04 7.56399764e-04 7.56944821e-04
 7.66864396e-04 7.74451124e-04 7.91166676e-04 8.27614800e-04
 8.73281155e-04 9.04860324e-04 9.28980531e-04 1.00560696e-03
 1.07258640e-03 1.09412894e-03 1.15497014e-03 1.17708545e-03
 1.22570363e-03 1.26231217e-03 1.27372437e-03 1.33612228e-03
 1.34461920e-03 1.39142573e-03 1.46334374e-03 1.62634009e-03
 1.63117063e-03 1.70312333e-03 1.72133162e-03 1.74134364e-03
 1.89149485e-03 2.16427865e-03 2.23206845e-03 2.24024709e-03
 2.29583681e-03 2.33460916e-03 2.44895532e-03 2.45952560e-03
 2.47308984e-03 2.48292158e-03 2.55934405e-03 2.61114724e-03
 2.70903599e-03 2.88965693e-03 2.96922307e-03 2.98489560e-03
 3.10045783e-03 3.17980675e-03 3.36165028e-03 3.39309103e-03
 4.23756288e-03 4.80300980e-03 4.89295041e-03 4.89861891e-03
 5.18441154e-03 5.43137733e-03 5.61155705e-03 5.69108082e-03
 5.79285668e-03 5.86462673e-03 5.93049638e-03 5.99515159e-03
 6.17791014e-03 6.75016828e-03 6.79678563e-03 6.80442248e-03
 6.88849995e-03 7.16751115e-03 7.72916945e-03 7.86881335e-03
 8.05658847e-03 8.33240245e-03 8.41926038e-03 8.42570327e-03
 9.18699056e-03 9.37331375e-03 9.59848799e-03 9.95363295e-03
 1.04216766e-02 1.05045605e-02 1.09866811e-02 1.10860197e-02
 1.16778919e-02 1.19556198e-02 1.19683677e-02 1.22199534e-02
 1.26940329e-02 1.34929586e-02 1.38086751e-02 1.45051181e-02
 1.47132715e-02 1.51535654e-02 1.52788348e-02 1.63461138e-02
 1.67102907e-02 1.67860966e-02 1.70117542e-02 1.77386124e-02
 1.88034493e-02 1.97813846e-02 2.19065715e-02 2.21013911e-02
 2.29566116e-02 2.38034334e-02 2.43085641e-02 2.43283622e-02
 2.44031902e-02 2.52249725e-02 2.85935756e-02 2.91068554e-02
 2.96740364e-02 3.03409677e-02 3.07703577e-02 3.08877956e-02
 3.10843028e-02 3.12184859e-02 3.28101031e-02 3.38227227e-02
 3.90108451e-02 3.92106548e-02 3.96859497e-02 4.05094139e-02
 4.07035053e-02 4.16400395e-02 4.24674451e-02 4.44494523e-02
 4.45061326e-02 4.47340794e-02 4.59579267e-02 4.79776710e-02
 4.85476516e-02 5.21042235e-02 5.45330942e-02 5.45443483e-02
 5.50935529e-02 5.72635420e-02 6.04261905e-02 6.19211048e-02
 6.22318573e-02 6.29442632e-02 7.03059509e-02 7.03466684e-02
 7.57887065e-02 7.71072283e-02 7.85711408e-02 8.26595202e-02
 8.32336172e-02 8.38523060e-02 8.72242898e-02 8.84931162e-02
 8.89065787e-02 9.11419168e-02 9.22659487e-02 9.28456932e-02
 1.04815446e-01 1.08182728e-01 1.08494565e-01 1.09309167e-01
 1.12790979e-01 1.12890050e-01 1.13465160e-01 1.19345203e-01
 1.21283755e-01 1.22050047e-01 1.24176987e-01 1.33584440e-01
 1.34354860e-01 1.45173088e-01 1.49562389e-01 1.55729890e-01
 1.63876668e-01 1.64674163e-01 1.67304218e-01 1.71293244e-01
 1.75255924e-01 1.75275087e-01 1.76803991e-01 1.81244433e-01
 1.82716355e-01 1.86271593e-01 1.90221921e-01 1.93430275e-01
 1.98465109e-01 2.00766400e-01 2.02508166e-01 2.22810760e-01
 2.27566361e-01 2.29797274e-01 2.35407606e-01 2.44755432e-01
 2.52116621e-01 2.67237186e-01 2.71224499e-01 3.13033283e-01
 3.37520659e-01 3.48630071e-01 3.52220207e-01 3.63242030e-01
 3.67429435e-01 3.76966089e-01 3.92898053e-01 4.12871420e-01
 4.14659083e-01 4.18486387e-01 4.25861001e-01 4.56179917e-01
 5.23945808e-01 5.69923401e-01 5.71701348e-01 6.19705737e-01
 6.49392426e-01 7.33985364e-01 7.48285234e-01 7.68200457e-01
 8.15541208e-01 8.33244979e-01 1.13013625e+00 1.27262259e+00
 1.42098176e+00 1.44857872e+00 1.48936129e+00 1.62924862e+00]",30.209339141845703,0.2756220727248831,400
1,1.3535352945327759,0.4643057882785797,0.15321850776672363,module.features.conv_2,"[5.3987326e-09 5.5060174e-09 6.5089467e-09 ... 3.0331481e-01 3.1309459e-01
 4.6430579e-01]",42.925270080566406,-0.4509924135647129,8000
2,1.6494245529174805,0.20985382795333862,0.1390475630760193,module.features.conv_4,"[2.3248163e-05 2.3942614e-05 2.7941198e-05 ... 1.4473824e-01 1.6820125e-01
 2.0985383e-01]",84.32148742675781,-1.1184469213069532,8000
3,1.931631088256836,0.10782357305288315,0.1410079300403595,module.features.conv_5,[0.00017574 0.00020959 0.00024245 ... 0.10402772 0.10574294 0.10782357],102.6685791015625,-1.868440250923208,8000
4,2.175454616546631,0.0986713320016861,0.14468735456466675,module.features.conv_7,[0.00060388 0.00062742 0.00063444 ... 0.09639282 0.09723487 0.09867133],135.97886657714844,-2.1880918521072243,8000
5,2.1170454025268555,0.061761073768138885,0.141127347946167,module.features.conv_8,[0.00030394 0.00030978 0.00033027 ... 0.05831982 0.05848907 0.06176107],77.875,-2.5601115926245575,8000
6,2.1813676357269287,0.056296952068805695,0.1379472017288208,module.features.conv_9,[0.00037836 0.00038231 0.00039569 ... 0.05328815 0.05356222 0.05629695],77.08529663085938,-2.725651837284395,8000
7,2.2048895359039307,0.043241944164037704,0.14351323246955872,module.features.conv_11,[0.00024159 0.00027018 0.0002937  ... 0.03793548 0.03904014 0.04324194],54.126224517822266,-3.007678324786027,8000
8,2.0309386253356934,0.018212193623185158,0.13603684306144714,module.features.conv_12,"[1.49593625e-05 1.91085401e-05 1.97991831e-05 ... 1.57363079e-02
 1.80681702e-02 1.82121936e-02]",18.27251434326172,-3.5330974825558816,8000
9,2.0221335887908936,0.008950353600084782,0.13534045219421387,module.features.conv_13,"[1.4732177e-05 1.8455004e-05 1.8457822e-05 ... 7.2321063e-03 7.5638951e-03
 8.9503536e-03]",8.454651832580566,-4.141652740435664,8000
