,alpha,spectral_norm,D,longname,eigs,norm,alphahat,eigs_num
0,1.1770066022872925,2.30535626411438,0.1444699764251709,module.conv1,"[5.50992798e-14 1.21896823e-13 1.56496845e-13 1.65537478e-13
 1.70539987e-13 2.17988889e-13 2.99044860e-13 3.42493612e-13
 3.43815091e-13 5.34538342e-13 6.34881850e-13 9.96471135e-13
 1.09463285e-12 1.19789346e-12 1.31666444e-12 1.34258782e-12
 1.71326408e-12 1.82382148e-12 1.87786245e-12 1.98901963e-12
 2.09424405e-12 2.37429239e-12 2.72012664e-12 2.90533678e-12
 2.91580909e-12 3.27175093e-12 3.55417085e-12 4.12848965e-12
 4.22656528e-12 4.87966308e-12 5.42966887e-12 5.64774312e-12
 6.98710187e-12 6.99366389e-12 7.64795519e-12 8.45101593e-12
 9.82824065e-12 1.13457403e-11 1.17618909e-11 1.38203528e-11
 1.40176412e-11 1.48492555e-11 1.55271698e-11 1.76666893e-11
 1.77608431e-11 2.02892286e-11 2.31150932e-11 2.35461858e-11
 2.39031711e-11 2.45097484e-11 2.46354291e-11 2.48141264e-11
 2.50072029e-11 2.68288881e-11 2.84045426e-11 3.03966192e-11
 3.14873821e-11 3.58772040e-11 3.85262447e-11 4.03056234e-11
 4.23886828e-11 4.31395163e-11 4.76706626e-11 4.96884582e-11
 5.02323044e-11 5.03279918e-11 5.57443917e-11 6.85841522e-11
 7.19651283e-11 7.40916217e-11 7.54265816e-11 7.80198961e-11
 8.13006051e-11 9.52582457e-11 9.57796134e-11 1.06475821e-10
 1.06750615e-10 1.16173710e-10 1.24015201e-10 1.26739758e-10
 1.28979161e-10 1.36048589e-10 1.36090708e-10 1.38720216e-10
 1.46693255e-10 1.61226810e-10 1.64299865e-10 1.78340162e-10
 1.99030639e-10 2.02457662e-10 2.10040041e-10 2.35962555e-10
 2.37387998e-10 2.42294990e-10 2.49994914e-10 2.57262101e-10
 2.84303581e-10 2.93718216e-10 3.01597941e-10 3.03455483e-10
 3.15409504e-10 3.16119575e-10 3.32785660e-10 3.36194850e-10
 3.48448131e-10 3.64855646e-10 3.67169850e-10 4.41067766e-10
 4.52960364e-10 4.96283847e-10 5.49439105e-10 5.80275661e-10
 5.85377635e-10 6.55492272e-10 6.69125366e-10 6.84040713e-10
 7.01370961e-10 7.14658721e-10 7.17916726e-10 7.24084293e-10
 7.60460417e-10 8.20147728e-10 8.63492722e-10 8.72468486e-10
 9.22696863e-10 1.06440545e-09 1.06673992e-09 1.20628318e-09
 1.22233446e-09 1.24269250e-09 1.26769528e-09 1.38731016e-09
 1.54822788e-09 1.58987012e-09 1.73224701e-09 1.78803006e-09
 1.89410021e-09 1.89679139e-09 1.98048222e-09 2.12209827e-09
 2.13130846e-09 2.21689156e-09 2.23265118e-09 2.25287411e-09
 2.47527976e-09 2.48283771e-09 2.52773602e-09 2.57906541e-09
 2.67210587e-09 2.67442912e-09 2.68966960e-09 2.69446798e-09
 2.81618528e-09 2.87233881e-09 2.92916358e-09 3.27413430e-09
 3.56227803e-09 3.58113295e-09 3.63085872e-09 3.80106036e-09
 4.06765954e-09 4.24970992e-09 4.61677852e-09 4.62474947e-09
 4.70522110e-09 4.79721285e-09 4.89333640e-09 5.17470911e-09
 5.34803357e-09 5.44820145e-09 5.46702994e-09 6.40522302e-09
 6.85480561e-09 6.90646385e-09 6.92381796e-09 6.97556946e-09
 7.18243376e-09 7.39029948e-09 7.52961515e-09 8.72684680e-09
 8.83027518e-09 1.00210436e-08 1.01035926e-08 1.01355671e-08
 1.06462865e-08 1.08147056e-08 1.10003446e-08 1.10629790e-08
 1.11335838e-08 1.11663656e-08 1.12697816e-08 1.20883001e-08
 1.35621177e-08 1.42698200e-08 1.52359316e-08 1.52606248e-08
 1.58893911e-08 1.59837157e-08 1.60423426e-08 1.61532387e-08
 1.70039556e-08 1.81888886e-08 1.83290929e-08 1.93742284e-08
 1.98277359e-08 1.98278478e-08 2.00351007e-08 2.06234141e-08
 2.11284377e-08 2.16465317e-08 2.20744685e-08 2.41701930e-08
 2.42273224e-08 2.51514436e-08 2.59956145e-08 2.61782116e-08
 2.69946430e-08 2.74034964e-08 2.82666264e-08 2.87089161e-08
 3.05967482e-08 3.11359862e-08 3.47309204e-08 3.57618148e-08
 3.66523132e-08 3.80494818e-08 3.92349619e-08 4.02258067e-08
 4.29694857e-08 4.31479208e-08 4.35185825e-08 4.38722694e-08
 4.38795524e-08 4.65223131e-08 4.67077719e-08 4.74571564e-08
 4.80158029e-08 5.25887813e-08 5.47014061e-08 5.47162387e-08
 6.55382522e-08 6.63488606e-08 6.81053294e-08 6.87470347e-08
 7.02863048e-08 7.09651218e-08 7.11406827e-08 7.59659358e-08
 7.74249571e-08 7.82779637e-08 8.26055526e-08 8.52897273e-08
 8.83220892e-08 9.07404782e-08 9.48410275e-08 9.99724605e-08
 1.04265546e-07 1.07298227e-07 1.07679135e-07 1.10151539e-07
 1.12138103e-07 1.16148748e-07 1.17469334e-07 1.29392618e-07
 1.31284295e-07 1.36616720e-07 1.50574635e-07 1.57965971e-07
 1.61689186e-07 1.68817948e-07 1.71039176e-07 1.78460255e-07
 1.81714313e-07 1.84947098e-07 1.90525654e-07 1.92750079e-07
 2.07349032e-07 2.11333031e-07 2.12431161e-07 2.31425503e-07
 2.37682201e-07 2.38100185e-07 2.40299698e-07 2.47508808e-07
 2.76967370e-07 2.77569939e-07 2.77954257e-07 2.81880745e-07
 2.95976093e-07 2.99527642e-07 3.07834028e-07 3.08902827e-07
 3.21085764e-07 3.34984549e-07 3.45216364e-07 3.63142817e-07
 3.69694959e-07 3.72335563e-07 3.78336239e-07 3.89335014e-07
 4.15057258e-07 4.17455766e-07 4.34056489e-07 4.38662710e-07
 4.65617347e-07 4.93398318e-07 4.97573239e-07 5.24392703e-07
 5.77721153e-07 5.91256480e-07 6.04479794e-07 6.21312381e-07
 6.23454923e-07 6.29430644e-07 6.44820489e-07 6.52390099e-07
 6.64533729e-07 6.73980423e-07 7.06174319e-07 7.09790754e-07
 7.19496256e-07 7.32957744e-07 7.96403185e-07 8.02531702e-07
 8.07706442e-07 8.08851667e-07 8.49491130e-07 8.67645724e-07
 8.83085193e-07 9.06337334e-07 9.07139793e-07 9.90063654e-07
 1.03190268e-06 1.03994353e-06 1.09396262e-06 1.10081032e-06
 1.17065213e-06 1.28492786e-06 1.28747604e-06 1.31912691e-06
 1.38222617e-06 1.41550436e-06 1.43267778e-06 1.47960588e-06
 1.49429763e-06 1.53658505e-06 1.55121381e-06 1.56282476e-06
 1.56459112e-06 1.60730883e-06 1.68986355e-06 1.75482069e-06
 1.78711900e-06 1.80784423e-06 1.96910128e-06 2.01003195e-06
 2.07735752e-06 2.08010988e-06 2.08675669e-06 2.10212897e-06
 2.19267758e-06 2.26374982e-06 2.28349450e-06 2.40721420e-06
 2.40776581e-06 2.43031650e-06 2.43085879e-06 2.59618764e-06
 2.61098603e-06 2.67032397e-06 2.83663371e-06 2.86218642e-06
 2.96769394e-06 3.18545517e-06 3.25896258e-06 3.44613204e-06
 3.44904925e-06 3.49747847e-06 3.86509237e-06 4.03517242e-06
 4.43674116e-06 4.88345586e-06 4.92193658e-06 5.00568058e-06
 5.04264472e-06 5.15534020e-06 5.28055261e-06 5.29867384e-06
 5.34893661e-06 5.36068228e-06 5.49162587e-06 5.66497738e-06
 5.79273183e-06 5.94949188e-06 6.01767533e-06 6.19972116e-06
 6.43807516e-06 6.45566342e-06 6.53893449e-06 6.53915595e-06
 6.65695188e-06 6.68749044e-06 6.72172564e-06 7.04300146e-06
 7.17878220e-06 7.39856978e-06 7.62504624e-06 8.01369151e-06
 8.68109510e-06 9.81983339e-06 1.00259440e-05 1.02868544e-05
 1.07236183e-05 1.11891904e-05 1.13677088e-05 1.17022082e-05
 1.18038170e-05 1.18894595e-05 1.20661762e-05 1.21746289e-05
 1.23423861e-05 1.23456202e-05 1.37286315e-05 1.40123084e-05
 1.43864854e-05 1.47655992e-05 1.51752465e-05 1.52602443e-05
 1.52884968e-05 1.60877935e-05 1.61664793e-05 1.66094214e-05
 1.72386735e-05 1.72959117e-05 1.75330042e-05 1.82503572e-05
 1.92549596e-05 1.93280466e-05 1.93582418e-05 2.17194465e-05
 2.18355890e-05 2.20709935e-05 2.21156224e-05 2.22076178e-05
 2.30814348e-05 2.34021900e-05 2.53841681e-05 2.62572175e-05
 2.73236419e-05 2.97516999e-05 2.98198956e-05 3.03686920e-05
 3.10046671e-05 3.40479273e-05 3.48608992e-05 3.61976199e-05
 3.66498898e-05 3.70487505e-05 3.74125302e-05 3.82205326e-05
 3.86955107e-05 4.07563784e-05 4.10839566e-05 4.12268710e-05
 4.16530384e-05 4.24922800e-05 4.48704195e-05 4.53765715e-05
 4.61263226e-05 4.94612468e-05 5.27731427e-05 5.28704441e-05
 5.45777948e-05 5.53980281e-05 5.78392246e-05 5.85784837e-05
 6.15601311e-05 6.71825983e-05 6.92790709e-05 6.96492571e-05
 7.20702155e-05 7.29164385e-05 7.41031181e-05 7.51745756e-05
 7.94660591e-05 8.57906489e-05 9.16231511e-05 9.26864523e-05
 9.55347277e-05 9.59858662e-05 9.73239949e-05 9.75483053e-05
 9.78396274e-05 1.00446632e-04 1.05274499e-04 1.09299399e-04
 1.15949886e-04 1.16007999e-04 1.17710078e-04 1.17907250e-04
 1.18387063e-04 1.19373603e-04 1.19956618e-04 1.22033656e-04
 1.23380625e-04 1.25030463e-04 1.27747102e-04 1.30998000e-04
 1.31411871e-04 1.36502596e-04 1.40349133e-04 1.42724515e-04
 1.42904290e-04 1.50650667e-04 1.53705667e-04 1.57693808e-04
 1.80015282e-04 1.80322488e-04 2.06218363e-04 2.11963474e-04
 2.15763663e-04 2.18315894e-04 2.26247575e-04 2.36869935e-04
 2.43404415e-04 2.50684709e-04 2.73253623e-04 2.85551476e-04
 2.87234114e-04 2.89491989e-04 2.92358687e-04 3.01248423e-04
 3.07528855e-04 3.09233787e-04 3.16828053e-04 3.26107984e-04
 3.43147549e-04 3.49241163e-04 3.75220756e-04 3.85692663e-04
 3.86078988e-04 3.92181420e-04 4.16945433e-04 4.44670382e-04
 4.45844838e-04 4.47415659e-04 4.64199577e-04 4.82472300e-04
 4.88827704e-04 5.00244321e-04 5.13964740e-04 5.43109956e-04
 5.45860152e-04 5.52017649e-04 6.01783628e-04 6.03203953e-04
 6.18562801e-04 6.74991927e-04 6.89515495e-04 7.01930374e-04
 7.06639723e-04 7.14346883e-04 7.68092403e-04 8.03627539e-04
 8.24076938e-04 8.50227196e-04 8.99438455e-04 9.08621005e-04
 9.45879088e-04 9.58799734e-04 9.72968002e-04 9.84246959e-04
 9.90658766e-04 9.94522241e-04 1.01115741e-03 1.14168657e-03
 1.14653050e-03 1.17090251e-03 1.19924499e-03 1.23626261e-03
 1.25874684e-03 1.26079051e-03 1.41402974e-03 1.42337359e-03
 1.49791862e-03 1.50293706e-03 1.55162916e-03 1.59607176e-03
 1.61656621e-03 1.81956962e-03 1.92587625e-03 2.00307672e-03
 2.12378218e-03 2.12939922e-03 2.15433049e-03 2.20372505e-03
 2.25763745e-03 2.28377897e-03 2.35938746e-03 2.35939375e-03
 2.42556748e-03 2.50279810e-03 2.61823414e-03 2.94158841e-03
 2.99028703e-03 3.02066188e-03 3.05186887e-03 3.09211807e-03
 3.18390271e-03 3.61328362e-03 3.66934878e-03 3.67752952e-03
 3.69518786e-03 3.74837080e-03 3.78014171e-03 4.50460520e-03
 4.51780250e-03 4.52466588e-03 4.69040452e-03 4.73283138e-03
 4.94295824e-03 5.21103805e-03 5.21314889e-03 5.64851426e-03
 5.98773500e-03 6.01100456e-03 6.19714521e-03 6.21443987e-03
 6.28722599e-03 6.32731896e-03 6.40006550e-03 6.42733276e-03
 6.47014426e-03 6.61242194e-03 7.14166928e-03 7.28356047e-03
 7.30849756e-03 7.41441315e-03 7.52868596e-03 7.78371375e-03
 7.82671012e-03 8.45933799e-03 9.31422040e-03 9.52935778e-03
 9.53780394e-03 9.64281429e-03 9.71294940e-03 1.00629386e-02
 1.05715478e-02 1.20206503e-02 1.26756020e-02 1.34877414e-02
 1.41650420e-02 1.45774577e-02 1.47082470e-02 1.50787765e-02
 1.53155271e-02 1.53801758e-02 1.54841086e-02 1.68075841e-02
 1.76506992e-02 1.77556891e-02 2.06923243e-02 2.10497119e-02
 2.24649850e-02 2.26758365e-02 2.29894146e-02 2.40066610e-02
 2.73156110e-02 2.73893625e-02 2.86420006e-02 2.92934086e-02
 3.06038279e-02 3.06106266e-02 3.21238637e-02 3.24930251e-02
 3.25610600e-02 3.37580629e-02 3.54506262e-02 3.79690379e-02
 3.94834951e-02 4.08880971e-02 4.13566940e-02 4.20537926e-02
 4.23471630e-02 4.28511240e-02 4.28714715e-02 4.72526029e-02
 5.00771701e-02 5.15099242e-02 5.48542328e-02 5.75693250e-02
 5.89396916e-02 5.97740896e-02 6.04416728e-02 6.24181740e-02
 6.57342747e-02 7.41676614e-02 7.90136978e-02 8.22039172e-02
 9.24928933e-02 1.01641953e-01 1.11660220e-01 1.11801930e-01
 1.15786098e-01 1.15801588e-01 1.19825564e-01 1.23823658e-01
 1.25515923e-01 1.30896300e-01 1.31943971e-01 1.56714350e-01
 1.59193069e-01 1.64301977e-01 1.88040838e-01 1.91070110e-01
 2.05221802e-01 2.17942506e-01 2.18907133e-01 2.23579362e-01
 2.28860900e-01 2.33822495e-01 2.35895991e-01 2.68579453e-01
 2.91350365e-01 2.93446898e-01 3.00254643e-01 3.16099554e-01
 3.25464487e-01 3.53469014e-01 3.56034398e-01 3.77380103e-01
 4.21348214e-01 4.35545981e-01 4.66414392e-01 4.93233770e-01
 4.95269954e-01 5.25237799e-01 5.85757017e-01 6.51655853e-01
 6.56887949e-01 6.59989178e-01 8.91100109e-01 9.21918273e-01
 1.03689396e+00 1.04675412e+00 1.31347620e+00 1.35829699e+00
 1.59654844e+00 2.30535626e+00]",24.615089416503906,0.4269450794192766,750
1,1.2579323053359985,0.2981148958206177,0.15739792585372925,module.layer1.0.conv1,"[1.7080711e-12 1.8554628e-12 2.0158699e-12 ... 2.1094194e-01 2.9722491e-01
 2.9811490e-01]",7.103568077087402,-0.6611897531132166,2500
2,1.4164834022521973,0.2763427197933197,0.12968671321868896,module.layer1.0.conv2,"[4.3237587e-09 7.8199127e-09 9.9746309e-09 ... 1.8624680e-01 2.1854293e-01
 2.7634272e-01]",11.096941947937012,-0.7911795981335196,2500
3,1.4613349437713623,0.16170047223567963,0.12050291895866394,module.layer1.1.conv1,"[4.6815800e-09 9.0767180e-09 1.8084712e-08 ... 1.0873925e-01 1.2638064e-01
 1.6170047e-01]",6.648680686950684,-1.156337845111165,2500
4,1.4480338096618652,0.11025925725698471,0.12989142537117004,module.layer1.1.conv2,"[4.3602597e-09 6.4865273e-09 8.3105807e-09 ... 9.4593152e-02 1.0550887e-01
 1.1025926e-01]",6.7615156173706055,-1.386615364976574,2500
5,1.6160434484481812,0.15780119597911835,0.14077505469322205,module.layer2.0.conv1,"[1.7378011e-06 2.2123509e-06 2.4850003e-06 ... 1.1823798e-01 1.3526815e-01
 1.5780120e-01]",14.884054183959961,-1.295888611553888,2500
6,1.655874490737915,0.0772683396935463,0.1295432150363922,module.layer2.0.conv2,"[6.9542153e-07 9.2480195e-07 9.5658584e-07 ... 6.0562018e-02 7.2234645e-02
 7.7268340e-02]",9.512250900268555,-1.8413298167139274,2500
7,1.3503868579864502,0.27219629287719727,0.1695055067539215,module.layer2.0.shortcut.0,"[3.3314274e-10 5.3120930e-10 6.0110716e-10 ... 2.2114632e-01 2.4971764e-01
 2.7219629e-01]",17.223731994628906,-0.7631276420684633,2500
8,1.7014844417572021,0.06294853985309601,0.1448442041873932,module.layer2.1.conv1,"[1.0737852e-14 1.2233787e-14 1.2624234e-14 ... 5.5616476e-02 5.6910384e-02
 6.2948540e-02]",9.109106063842773,-2.0435072126170755,2500
9,1.6081897020339966,0.0644553080201149,0.13749542832374573,module.layer2.1.conv2,"[7.4759316e-07 8.1564968e-07 8.3338932e-07 ... 5.7243980e-02 6.2724911e-02
 6.4455308e-02]",7.636837482452393,-1.9149379154901924,2500
