,alpha,spectral_norm,D,longname,eigs,norm,alphahat,eigs_num
0,1.170944094657898,1.6209660768508911,0.16303101181983948,module.features.conv_1,"[3.1979881e-21 6.0026888e-20 4.5756855e-19 ... 1.4638013e+00 1.5570623e+00
 1.6209661e+00]",36.931419372558594,0.24563354003108012,1600
1,1.4236695766448975,0.3459942936897278,0.14810442924499512,module.features.conv_2,"[6.2178812e-12 2.3412289e-10 2.3873728e-10 ... 1.9483154e-01 2.0640494e-01
 3.4599429e-01]",14.02734088897705,-0.656213532390204,2000
2,1.6645839214324951,0.18099872767925262,0.1616046130657196,module.features.conv_4,"[1.2776419e-10 5.9194954e-10 7.3802311e-09 ... 1.4185028e-01 1.4367774e-01
 1.8099873e-01]",21.567604064941406,-1.2356613905139842,2000
3,1.7369329929351807,0.07818515598773956,0.15884053707122803,module.features.conv_5,"[5.7078730e-12 8.8396998e-11 2.2110302e-09 ... 6.1548300e-02 6.6257387e-02
 7.8185156e-02]",14.93765926361084,-1.9225689103089674,2000
4,1.7547845840454102,0.05769425630569458,0.1576278805732727,module.features.conv_7,"[1.1799579e-11 1.5268118e-09 2.7236227e-09 ... 5.6366440e-02 5.7008307e-02
 5.7694256e-02]",15.470640182495117,-2.173945451077331,2000
5,1.699991226196289,0.04185357689857483,0.15271246433258057,module.features.conv_8,"[3.2848449e-10 1.5295335e-08 1.5433860e-08 ... 3.9098002e-02 3.9203983e-02
 4.1853577e-02]",9.288830757141113,-2.343042521904149,2000
6,1.7834880352020264,0.04777831584215164,0.1509220004081726,module.features.conv_9,"[2.8087827e-13 2.7094214e-12 9.5951736e-12 ... 3.8089179e-02 4.3920618e-02
 4.7778316e-02]",9.837868690490723,-2.3555759993748904,2000
7,1.7393178939819336,0.024343356490135193,0.15477576851844788,module.features.conv_11,"[1.4257762e-09 2.0307260e-09 6.9080346e-09 ... 2.1942899e-02 2.2492317e-02
 2.4343356e-02]",5.500026702880859,-2.806597341656914,2000
8,1.6296634674072266,0.01098804920911789,0.1474790871143341,module.features.conv_12,"[4.0131640e-10 4.6489618e-10 1.9878450e-09 ... 9.3786335e-03 9.6835578e-03
 1.0988049e-02]",1.9464020729064941,-3.192640134926693,2000
9,1.645187497138977,0.005571804475039244,0.16266000270843506,module.features.conv_13,"[2.4358337e-12 1.1001581e-11 4.5797241e-11 ... 4.9443361e-03 5.2907383e-03
 5.5718045e-03]",1.0672886371612549,-3.7082594167623455,2000
10,1.5451130867004395,0.004511317703872919,0.1418856978416443,module.features.conv_15,"[4.1586977e-12 9.4472173e-11 1.5403144e-10 ... 3.2784946e-03 3.4168824e-03
 4.5113177e-03]",0.3649919629096985,-3.624366494284796,2000
11,1.614730715751648,0.0032358765602111816,0.14125540852546692,module.features.conv_16,"[4.0879714e-14 2.5514138e-11 2.5854402e-11 ... 2.5359117e-03 2.7134786e-03
 3.2358766e-03]",0.23356738686561584,-4.0206924870746885,2000
12,1.6876555681228638,0.008445043116807938,0.13966688513755798,module.features.conv_17,"[8.87880134e-12 1.40406185e-11 1.70926259e-11 ... 3.92606109e-03
 5.85289719e-03 8.44504312e-03]",0.5167441368103027,-3.499181896943933,2000
13,1.7951240539550781,0.6506341695785522,0.15509769320487976,module.linear,"[1.0447319e-10 4.2963149e-09 6.5585284e-09 ... 5.5238301e-01 6.0821885e-01
 6.5063417e-01]",142.64242553710938,-0.3350834790700361,2000
