,alpha,spectral_norm,D,longname,eigs,norm,alphahat,eigs_num
0,1.5539889335632324,0.0999060571193695,0.2603589594364166,module.conv1,"[0.00012371 0.00019334 0.00025245 0.00032382 0.00044117 0.00051272
 0.00056538 0.00057942 0.00059298 0.00072486 0.00086627 0.00093479
 0.00097753 0.00100617 0.00114397 0.00128796 0.00144956 0.00146613
 0.00196941 0.00211705 0.00225947 0.00252996 0.00290193 0.0045642
 0.00485817 0.00570213 0.00732499 0.00830177 0.00856456 0.01302323
 0.01389604 0.01495225 0.0166302  0.01682144 0.01960736 0.02347394
 0.02392325 0.02554078 0.02779899 0.03271654 0.03919505 0.05776399
 0.06532591 0.08604009 0.09990606]",0.641150951385498,-1.5546232415509216,45
1,1.3291651010513306,0.08739876002073288,0.16791650652885437,module.layer1.0.conv1,"[3.6405738e-16 3.6629151e-16 3.7283929e-16 ... 7.7552035e-02 7.9526223e-02
 8.7398760e-02]",5.438089370727539,-1.4069142533290573,4500
2,1.4933688640594482,0.05086956173181534,0.13856038451194763,module.layer1.0.conv2,"[9.5047188e-17 1.9888814e-16 2.4629497e-16 ... 4.7664657e-02 4.9344148e-02
 5.0869562e-02]",6.35353422164917,-1.9317353531703185,4500
3,1.493788480758667,0.031223483383655548,0.13589516282081604,module.layer1.1.conv1,"[1.5271513e-09 4.8017070e-09 5.6011289e-09 ... 2.8832393e-02 3.0326718e-02
 3.1223483e-02]",4.449579238891602,-2.2489264130546385,4500
4,1.439347505569458,0.03858357295393944,0.14540338516235352,module.layer1.1.conv2,"[1.3606958e-08 1.6887055e-08 2.0419519e-08 ... 3.4177337e-02 3.7493970e-02
 3.8583573e-02]",4.871479034423828,-2.034658118792802,4500
5,1.6548256874084473,0.023426027968525887,0.14250341057777405,module.layer2.0.conv1,"[4.4063088e-07 6.3081944e-07 6.8778587e-07 ... 2.1785183e-02 2.3184057e-02
 2.3426028e-02]",6.5804901123046875,-2.69786453985512,4500
6,1.7542006969451904,0.012660391628742218,0.14331874251365662,module.layer2.0.conv2,"[9.3652085e-07 2.0084071e-06 2.4177327e-06 ... 1.1704691e-02 1.1763941e-02
 1.2660392e-02]",4.704679489135742,-3.3286885493503666,4500
7,1.2384686470031738,0.10877484828233719,0.23102311789989471,module.layer2.0.shortcut.0,"[6.4178041e-13 8.0814825e-13 8.5549851e-13 ... 7.3292755e-02 7.4298717e-02
 1.0877485e-01]",7.176388740539551,-1.1932292621006781,4500
8,1.726365327835083,0.021761035546660423,0.15034428238868713,module.layer2.1.conv1,"[1.8319263e-16 3.7389736e-16 3.7622361e-16 ... 1.6640460e-02 1.7781297e-02
 2.1761036e-02]",4.462535858154297,-2.8697723741738304,4500
9,1.666367530822754,0.013767875730991364,0.15006276965141296,module.layer2.1.conv2,"[1.0394479e-12 1.4613813e-12 3.9713081e-12 ... 1.0027115e-02 1.2176048e-02
 1.3767876e-02]",3.564635753631592,-3.10133170607388,4500
10,1.7726187705993652,0.04077949747443199,0.11786571145057678,module.layer3.0.conv1,"[3.3347935e-06 3.7451218e-06 5.6464455e-06 ... 2.2577079e-02 2.4140161e-02
 4.0779497e-02]",7.281012058258057,-2.46315682466882,4500
11,1.8599834442138672,0.027203567326068878,0.12804076075553894,module.layer3.0.conv2,"[1.8803012e-13 3.0275397e-13 3.1329277e-13 ... 1.0969017e-02 1.1130676e-02
 2.7203567e-02]",5.371939182281494,-2.911569986713789,4500
12,1.8301684856414795,0.02049769088625908,0.15240350365638733,module.layer3.0.shortcut.0,"[7.0898691e-13 7.7182553e-13 1.0200035e-12 ... 1.8439578e-02 1.8465657e-02
 2.0497691e-02]",6.455705642700195,-3.089864414186506,4500
13,1.8212451934814453,0.0064400858245790005,0.16476020216941833,module.layer3.1.conv1,"[5.8946799e-24 1.1262728e-23 1.3775373e-23 ... 5.3691417e-03 5.3734751e-03
 6.4400858e-03]",2.8506922721862793,-3.99054554158979,4500
14,1.6973590850830078,0.007007542531937361,0.13943889737129211,module.layer3.1.conv2,"[3.2453811e-15 3.3084033e-15 5.6775831e-15 ... 6.9351271e-03 7.0044915e-03
 7.0075425e-03]",2.5234906673431396,-3.656848560403223,4500
15,1.859757900238037,0.012346449308097363,0.12803050875663757,module.layer4.0.conv1,"[3.3250590e-19 3.6894765e-19 4.0888706e-19 ... 7.7918600e-03 1.1630992e-02
 1.2346449e-02]",4.24488639831543,-3.549269698405475,4500
16,1.981018304824829,0.005441650282591581,0.14790210127830505,module.layer4.0.conv2,"[5.4600046e-06 6.8231966e-06 7.1165559e-06 ... 4.7026146e-03 4.9043591e-03
 5.4416503e-03]",3.4241182804107666,-4.485559073724534,4500
17,2.1455881595611572,0.013734843581914902,0.14605611562728882,module.layer4.0.shortcut.0,"[4.3804635e-06 1.5796100e-05 1.5925538e-05 ... 1.2875024e-02 1.3056246e-02
 1.3734844e-02]",8.282052040100098,-3.99546338197653,4500
18,1.7566914558410645,0.0068496763706207275,0.1597316563129425,module.layer4.1.conv1,"[3.0581962e-06 3.6350457e-06 3.7786028e-06 ... 6.0240375e-03 6.0594669e-03
 6.8496764e-03]",3.873688220977783,-3.802059926054585,4500
19,1.4308279752731323,0.005102874711155891,0.13408583402633667,module.layer4.1.conv2,"[6.6266274e-08 6.6921018e-08 7.7243740e-08 ... 4.3991590e-03 4.6980605e-03
 5.1028747e-03]",1.1627516746520996,-3.2797225578517257,4500
20,2.034241199493408,1.1440383195877075,0.14852651953697205,module.linear,"[5.4209086e-04 1.0690655e-03 1.0835336e-03 ... 1.1386527e+00 1.1400325e+00
 1.1440383e+00]",707.0811767578125,0.11888221807091007,4500
